Country,Happiness Score,Region,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI of household income reported in Gallup, by wp5-year"
Benin,4.883,Sub-Saharan Africa,2019,4.893455187,7.634040832,0.47741295899999997,53.90000026,0.739955842,-0.020341506000000002,0.7838203709999999,0.623204807,0.46051992,0.630584816,0.209251225,-0.56338054,0.549219529
Congo (Brazzaville),4.812,Sub-Saharan Africa,2019,4.831233023999999,8.510872205,0.630504151,57.30000051,0.754130025,-0.131694957,0.7637296720000001,0.598921061,0.377651145,0.47552514100000004,-0.831420422,-1.187458038,0.519675136
Gabon,4.7989999999999995,Sub-Saharan Africa,2019,4.799052079,9.719920157999999,0.790605903,59.20000076,0.690145771,-0.22894703800000002,0.835910837,0.63828512,0.432063311,0.32547757,-0.554424852,-0.770256102,0.54385378
Laos,4.796,Southeast Asia,2019,4.786209266,8.684129079,0.701567272,57.86666616,0.898830861,0.149091268,0.612928331,0.880602102,0.35426254100000004,0.839935005,-0.732661218,-0.8032252190000001,0.582977951
South Africa,4.7219999999999995,Sub-Saharan Africa,2019,4.722438971,9.414978027,0.8623490140000001,56.09999974,0.771431883,-0.091759431,0.839611173,0.794230302,0.284070502,0.477027436,0.21963699899999997,0.152395997,0.606390695
Albania,4.718999999999999,Central and Eastern Europe,2019,4.718350569,9.375358899,0.653233806,68.39999898,0.767880758,-0.015981756,0.8921116,0.6859280659999999,0.32486228100000003,0.43132843600000004,0.278618425,-0.132632941,0.427734176
Venezuela,4.707,Latin America and Caribbean,2019,4.705842972,9.414545059,0.89490356,66.30000051,0.567987273,-0.19531277800000002,0.8538846379999999,0.724355161,0.3761322,0.221948271,-1.138053238,-1.731955409,0.480194911
Cambodia,4.7,Southeast Asia,2019,4.722979705,8.201662381,0.768533846,61.19999949,0.959966997,0.06467183900000001,0.830719889,0.8272537190000001,0.40694331100000003,0.746164352,-0.470903471,-0.8748027690000001,0.565926274
Palestinian Territories,4.696000000000001,Middle East and North Africa,2019,4.696224213,8.46180439,0.820531786,62.57299042,0.63127174,-0.13444747,0.818963508,0.599980056,0.404214124,0.42351529,-1.436603307,-0.23571084399999997,0.460614542
Senegal,4.681,Sub-Saharan Africa,2019,4.682312012,7.81250906,0.774036169,59.19999949,0.68663005,-0.05538996400000001,0.8081250190000001,0.747814715,0.260920852,0.61017563,0.104638268,-0.17728978399999998,0.417599261
Somalia,4.668,Sub-Saharan Africa,2019,4.6679410930000005,6.214248,0.594416559,50.0,0.917322814,-0.004158758512820516,0.44080174,0.8914231659999999,0.193282232,0.7006816859999999,-2.134840965,-2.125517845,0.491746068
Namibia,4.638999999999999,Sub-Saharan Africa,2019,4.6164617539999995,9.163660367,0.8184458020000001,55.95333354,0.8045538659999999,-0.187229758,0.822491248,0.736233989,0.252154231,0.716621717,0.589899898,0.138055079,0.718022267
Niger,4.628,Sub-Saharan Africa,2019,4.671442191000001,6.832217534,0.625654499,53.0,0.7253835,0.001087785,0.7431069020000001,0.725525995,0.41817295600000004,0.64050287,-0.812729508,-0.656201005,0.56702666
Burkina Faso,4.587,Sub-Saharan Africa,2019,4.59325393,7.438197613,0.738007327,53.40000153,0.659733236,-0.016958268999999998,0.735130787,0.637374302,0.34466225899999997,0.608874202,-0.429960326,-0.386268586,0.5724681420000001
Armenia,4.559,Commonwealth of Independent States,2019,4.558552265,9.070405642,0.740530749,66.60000102,0.677442551,-0.14677173400000001,0.820976913,0.600033939,0.44307227899999996,0.367480551,-0.626963347,-0.140388586,0.422281236
Iran,4.548,Middle East and North Africa,2019,4.549210549,9.855999311,0.651426276,65.69999949,0.7024195990000001,0.128591982,0.710387905,0.644542535,0.485853205,0.629705935,-1.0962558390000001,-0.711101622,0.6056124970000001
Guinea,4.534,Sub-Saharan Africa,2019,4.576268037,7.593587399,0.646635254,53.30000051,0.731685082,0.032291361,0.777067065,0.711780945,0.41243099200000005,0.56580012,-0.625732362,-1.014798343,0.580642064
Georgia,4.519,Commonwealth of Independent States,2019,4.519419352,9.182962099,0.580375334,64.69999949,0.734173755,-0.22841439600000002,0.6351366039999999,0.572659055,0.225547666,0.313647846,-0.031982377,0.660211265,0.438360085
Gambia,4.516,Sub-Saharan Africa,2019,4.520019054,7.36506319,0.6909007429999999,54.85000038,0.765527308,0.126379773,0.63134256,0.8211496770000001,0.328227445,0.7770183690000001,-0.42790508299999996,-0.5523322820000001,0.577450484
Kenya,4.5089999999999995,Sub-Saharan Africa,2019,4.509161472,8.006097317,0.7090819279999999,59.5,0.807771882,0.289676622,0.8422186770000001,0.763439139,0.230926245,0.630294641,-0.689292073,-0.48241846299999996,0.553937296
Mauritania,4.49,Sub-Saharan Africa,2019,4.487974803,8.188513438,0.788549205,56.70000076,0.486965606,-0.129524025,0.7765594920000001,0.678348541,0.256515359,0.253144369,-0.735349059,-0.727416098,0.36875
Mozambique,4.466,Sub-Saharan Africa,2019,4.494448185,7.031410853,0.6942674520000001,52.86666743,0.8441737890000001,0.040785536000000004,0.668300947,0.617493868,0.36334652700000003,0.766000013,-0.545505673,-0.791079283,0.7475581370000001
Tunisia,4.461,Middle East and North Africa,2019,4.462309519,9.293353717,0.7173857490000001,66.60000102,0.580691695,-0.20378517100000001,0.839896341,0.541676531,0.37343979899999996,0.315916339,-0.42781604799999995,-0.16583877800000002,0.411526779
Bangladesh,4.456,South Asia,2019,4.455042998,8.165205955,0.6890752509999999,63.80000051,0.890796165,-0.035207011,0.674763103,0.556703627,0.269922003,0.851256212,-0.9282242959999999,-0.756059885,0.446845561
Iraq,4.437,Middle East and North Africa,2019,4.437468052,9.677239895,0.707033038,59.29999924,0.646941096,-0.063052543,0.77798763,0.49699027799999995,0.580148399,0.421327546,-1.677399576,-1.360618651,0.549370647
Congo (Kinshasa),4.418,Sub-Saharan Africa,2019,4.416484356000001,6.692824602000001,0.7669214609999999,52.70000077,0.67080313,0.03867826,0.8420907559999999,0.598397702,0.313336775,0.380118623,-1.8424035909999998,-1.4996980430000002,0.548524246
Mali,4.39,Sub-Saharan Africa,2019,4.391202609,7.607265631000001,0.756491005,51.20000076,0.7288084229999999,-0.055508585,0.839357754,0.772918125,0.355910589,0.51327163,-0.993058532,-0.743421793,0.5286159020000001
Sierra Leone,4.374,Sub-Saharan Africa,2019,4.376066208,7.240506012999999,0.652882993,49.19999949,0.702766717,0.10065342699999999,0.8557988009999999,0.57864513,0.47249579399999997,0.739384472,-0.134636082,-0.902047753,0.64970547
Sri Lanka,4.3660000000000005,South Asia,2019,4.365584374,9.38254261,0.825417996,67.09999848,0.83985278,0.087508898,0.85111335,0.813122303,0.28550344699999997,0.546860159,-0.061903223,-0.16968880600000003,0.41764937399999996
Myanmar,4.36,Southeast Asia,2019,4.396031539,8.630222002,0.787490586,58.70000076,0.8898712790000001,0.586157978,0.624277989,0.775536001,0.294642428,0.8757494290000001,-0.887993932,-0.843224675,0.424916069
Chad,4.35,Sub-Saharan Africa,2019,4.358204206,7.496143341000001,0.618024667,47.70000076,0.5968087910000001,0.015179102,0.7916860379999999,0.587566237,0.516549478,0.521334062,-1.342781663,-1.36848718,0.557501932
Ukraine,4.332,Commonwealth of Independent States,2019,4.333888848,8.976917903,0.881407658,64.30000051,0.588157495,-0.002621783,0.9235999579999999,0.5982016529999999,0.22541318800000001,0.10543333,-0.932151735,-0.607499063,0.38560356700000004
Ethiopia,4.2860000000000005,Sub-Saharan Africa,2019,4.285808881,7.454426606,0.7308043240000001,58.0,0.733917336,0.032051779,0.753082017,0.665035506,0.276710222,0.7975236179999999,-1.538192451,-0.670833915,0.46060277
Swaziland,4.212,Sub-Saharan Africa,2019,4.539328099,8.922841072,0.808209747,57.7,0.658565462,-0.126601033,0.804795623,0.822483987,0.251696274,0.521414787,-0.897580624,-0.541850388,0.71063295
Uganda,4.189,Sub-Saharan Africa,2019,4.185164292,7.442166328,0.7444458009999999,55.30000051,0.74675554,0.09960999599999999,0.82764868,0.685506761,0.400137206,0.610176126,-0.6297908720000001,-0.528943211,0.650558889
Egypt,4.166,Middle East and North Africa,2019,4.163845221,9.266698837,0.7354230079999999,61.40000025,0.643334826,-0.17719837,0.817527413,0.547650993,0.356725265,0.619130909,-1.326223016,-0.6606000360000001,0.355768959
Zambia,4.107,Sub-Saharan Africa,2019,4.107269764,8.213402748,0.74284031,54.79999924,0.808456342,0.092293692,0.773638507,0.7060001290000001,0.37013081700000006,0.673536956,-0.09879774300000001,-0.47433012700000005,0.6378782789999999
Togo,4.085,Sub-Saharan Africa,2019,4.087426106000001,7.262893836,0.537866692,54.30000051,0.686315815,-0.018571455,0.783033828,0.6089605889999999,0.45172150899999997,0.431344489,-0.519132704,-0.812806785,0.49877084299999996
India,4.015,South Asia,2019,4.0144523780000005,8.771278381,0.619449616,59.69999949,0.865454197,0.017380098,0.783596078,0.677960873,0.340358774,0.7748879590000001,-0.23857272399999999,-0.117209084,0.400641719
